HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
Tau Ceramica Vitoria Gasteiz, Saint Petersburg Lions,FT,97,26,43,10,21,15,22,11,24,35,19,10,19,4,0,24,20,107,88,19,34,11,21,17,32,6,21,27,19,12,17,0,4,20,24,89,20,28,24,25,,,35,26,27,-88,,,20,48,72,97,,,35,61,88,,,
Cibona VIP, AEK Athens,FT,72,24,43,2,17,18,26,9,24,33,9,10,16,5,0,21,27,77,81,23,39,6,21,17,24,8,21,29,10,13,12,0,5,27,21,72,19,16,20,17,,,37,21,23,-81,,,19,35,55,72,,,37,58,81,,,
Olympiakos, Ovarense Aerosoles,FT,101,28,42,8,25,21,32,14,20,34,13,5,12,6,0,21,26,110,67,24,44,2,11,13,19,7,19,26,14,7,23,0,6,26,21,45,28,23,24,26,,,39,13,15,-67,,,28,51,75,101,,,39,52,67,,,
Union Olimpija Ljubljana, Hapoel Jerusalem,FT,95,25,49,7,15,24,32,11,23,34,15,19,18,4,7,22,24,104,68,26,47,1,10,13,25,6,17,23,5,12,22,7,4,24,22,45,19,23,24,29,,,38,15,15,-68,,,19,42,66,95,,,38,53,68,,,
Benetton Basket, Real Madrid,FT,87,21,35,10,21,15,21,9,12,21,13,9,16,1,2,22,23,83,88,19,32,12,18,14,20,8,17,25,17,7,20,2,1,23,22,92,18,22,28,19,,,41,24,23,-88,,,18,40,68,87,,,41,65,88,,,
FC Barcelona, Haribo London Towers,FT,82,25,40,2,25,26,39,15,22,37,13,12,12,1,2,25,32,87,76,25,45,3,16,17,26,11,29,40,4,7,19,2,1,32,25,60,26,18,12,26,,,37,19,20,-76,,,26,44,56,82,,,37,56,76,,,
Muller Verona, Opel Skyliners,FT,90,31,45,6,19,10,13,12,33,45,16,10,15,2,0,12,14,120,70,19,41,7,24,11,14,8,16,24,14,18,9,0,2,14,12,71,26,22,24,18,,,22,20,28,-70,,,26,48,72,90,,,22,42,70,,,
PAOK Thessaloniki, Buducnost,FT,89,21,40,6,9,29,34,4,25,29,12,7,12,2,2,21,29,106,72,23,43,5,28,11,16,22,22,44,13,6,17,2,2,29,21,62,21,23,24,21,,,32,20,20,-72,,,21,44,68,89,,,32,52,72,,,
Lugano Snakes, Adecco Estudiantes,FT,77,24,46,3,14,20,30,10,16,26,4,29,21,1,1,23,27,76,76,20,30,5,16,21,28,7,29,36,2,21,29,1,1,27,23,74,15,22,12,28,,,36,16,24,-76,,,15,37,49,77,,,36,52,76,,,
PAF Bologna, Peristeri,FT,71,19,41,5,18,18,31,15,30,45,10,17,16,2,0,23,28,86,69,24,46,2,17,15,19,9,27,36,7,17,14,0,2,28,23,67,25,18,15,13,,,41,16,12,-69,,,25,43,58,71,,,41,57,69,,,
Zadar, Zalgiris Kaunas,FT,86,30,51,3,13,17,21,8,22,30,19,20,12,5,3,25,20,105,87,22,45,7,18,22,26,9,17,26,10,12,12,3,5,20,25,88,18,24,19,25,,,38,26,23,-87,,,18,42,61,86,,,38,64,87,,,
Region Wallone Spirou Charleroi, Cibona VIP,FT,100,22,44,11,25,23,30,13,17,30,6,5,10,0,1,27,27,87,91,29,46,5,15,18,30,11,20,31,5,4,16,1,0,27,27,77,19,24,34,23,,,42,21,28,-91,,,19,43,77,100,,,42,63,91,,,
AEK Athens, Tau Ceramica Vitoria,FT,64,16,41,5,16,17,26,7,30,37,11,2,12,3,5,24,28,59,52,19,42,0,13,14,22,14,30,44,10,4,16,5,3,28,24,48,16,13,15,20,,,31,11,10,-52,,,16,29,44,64,,,31,42,52,,,
Saint Petersburg Lions, Kinder Virtus Bologna,FT,78,20,39,6,17,20,28,7,14,21,19,9,12,1,0,22,22,78,82,26,39,3,11,21,28,8,21,29,16,8,16,3,0,22,22,94,27,19,19,13,,,42,26,14,-82,,,27,46,65,78,,,42,68,82,,,
Ovarense Aerosoles, Benetton Basket,FT,76,25,43,6,16,8,11,3,27,30,21,9,17,0,0,18,15,85,86,28,46,6,22,12,14,8,27,35,13,10,14,4,0,15,18,101,20,22,12,22,,,46,22,18,-86,,,20,42,54,76,,,46,68,86,,,
Real Madrid, Union Olimpija Ljubljana,FT,82,21,38,6,11,22,37,8,24,32,8,16,12,6,1,27,29,96,70,15,33,6,24,22,33,17,21,38,7,9,17,1,6,29,27,53,25,18,22,17,,,40,15,15,-70,,,25,43,65,82,,,40,55,70,,,
Hapoel Jerusalem, Olympiakos,FT,83,25,54,6,15,15,20,18,28,46,18,7,13,0,0,22,0,76,70,14,27,9,27,15,23,7,19,26,12,8,14,0,0,21,0,42,14,22,27,20,,,37,20,13,-70,,,14,36,63,83,,,37,57,70,,,
Haribo London Towers, PAOK Thessaloniki,FT,61,18,42,6,21,7,10,11,23,34,11,5,12,0,0,17,0,40,93,22,36,12,24,13,15,3,31,34,25,8,7,1,0,19,0,107,21,13,16,11,,,42,23,28,-93,,,21,34,50,61,,,42,65,93,,,
Buducnost, Muller Verona,FT,77,20,38,5,17,22,34,8,23,31,2,6,9,1,2,24,25,65,73,27,46,1,12,16,26,5,20,25,4,3,11,2,1,26,23,52,21,22,18,16,,,36,17,20,-73,,,21,43,61,77,,,36,53,73,,,
Opel Skyliners, FC Barcelona,FT,51,14,41,5,19,8,9,12,18,30,8,16,11,1,6,16,15,46,68,24,38,5,22,5,14,16,26,42,10,11,17,6,1,15,16,80,7,15,14,15,,,33,17,18,-68,,,7,22,36,51,,,33,50,68,,,
PAF Bologna, Cibona VIP,FT,76,20,36,6,17,18,28,6,34,40,8,19,17,4,3,22,29,97,64,18,52,6,19,10,16,17,29,46,4,20,18,3,4,29,22,55,24,13,18,21,,,48,9,7,-64,,,24,37,55,76,,,48,57,64,,,
Real Madrid, Buducnost,FT,91,29,49,3,15,24,31,15,33,48,10,16,17,1,1,22,25,112,63,20,43,2,19,17,34,14,19,33,8,11,21,1,1,25,22,34,23,18,26,24,,,31,12,20,-63,,,23,41,67,91,,,31,43,63,,,
Kinder Virtus Bologna, Adecco Estudiantes,FT,113,39,52,6,20,17,20,10,22,32,19,33,13,4,0,23,23,158,70,23,43,2,18,18,24,17,19,36,4,14,30,0,4,23,23,48,26,39,23,25,,,34,17,19,-70,,,26,65,88,113,,,34,51,70,,,
PAOK Thessaloniki, Union Olimpija Ljubljana,FT,75,18,39,3,8,30,37,7,33,40,8,5,13,2,2,21,31,92,64,15,43,7,20,13,16,13,24,37,12,8,9,2,2,31,21,58,21,19,12,23,,,39,13,12,-64,,,21,40,52,75,,,39,52,64,,,
Olympiakos, Muller Verona,FT,94,23,42,9,20,21,32,13,27,40,18,7,19,7,0,23,25,108,92,24,51,10,19,14,18,7,18,25,10,5,13,0,7,25,22,69,28,20,16,30,,,39,29,24,-92,,,28,48,64,94,,,39,68,92,,,
Peristeri, Tau Ceramica Vitoria,FT,79,21,41,5,19,22,25,9,18,27,8,3,6,2,2,24,24,74,81,17,36,8,15,23,27,9,25,34,10,7,16,2,2,24,24,86,23,22,13,21,,,44,23,14,-81,,,23,45,58,79,,,44,67,81,,,
FC Barcelona, Benetton Basket,FT,85,21,40,9,23,16,20,10,20,30,11,16,17,4,2,20,20,90,86,19,39,10,20,18,22,10,24,34,13,10,20,2,4,20,20,87,25,25,18,17,,,44,24,18,-86,,,25,50,68,85,,,44,68,86,,,
AEK Athens, Zalgiris Kaunas,FT,69,22,44,5,21,10,18,15,28,43,6,7,12,0,5,20,19,61,60,13,32,6,20,16,22,7,25,32,6,9,21,5,0,19,20,53,17,12,21,19,,,31,7,22,-60,,,17,29,50,69,,,31,38,60,,,
Cibona VIP, PAF Bologna,OT,74,22,50,8,29,6,13,15,28,43,9,10,10,6,10,20,16,62,75,12,35,10,24,21,28,7,32,39,10,10,15,11,6,16,20,84,18,17,18,13,8,,13,22,16,15,9,,18,35,53,66,74,,13,35,51,66,75,
Buducnost, Real Madrid,FT,62,24,41,2,23,8,19,14,14,28,10,8,12,0,4,23,21,41,76,23,33,5,17,15,23,4,26,30,8,2,11,4,0,22,23,80,19,12,20,11,,,36,25,15,-76,,,19,31,51,62,,,36,61,76,,,
Adecco Estudiantes, Kinder Virtus Bologna,FT,80,19,46,8,17,18,22,11,23,34,12,7,15,3,2,26,23,76,85,20,41,8,23,21,30,15,23,38,12,15,14,2,3,23,26,93,16,29,13,22,,,47,23,15,-85,,,16,45,58,80,,,47,70,85,,,
Union Olimpija Ljubljana, PAOK Thessaloniki,FT,85,22,42,9,23,14,26,13,18,31,16,10,9,4,1,23,28,95,77,21,40,3,14,26,30,5,25,30,6,8,12,1,4,28,23,67,18,25,21,21,,,43,17,17,-77,,,18,43,64,85,,,43,60,77,,,
Muller Verona, Olympiakos,FT,84,26,46,6,22,14,19,12,24,36,11,16,14,0,2,29,21,82,96,20,36,7,20,35,45,11,27,38,6,16,14,2,0,21,29,113,21,20,17,26,,,50,21,25,-96,,,21,41,58,84,,,50,71,96,,,
Tau Ceramica Vitoria Gasteiz, Peristeri,FT,81,20,43,6,16,23,34,11,18,29,12,13,9,1,1,22,30,90,68,19,38,5,15,15,20,9,28,37,14,6,21,1,1,30,22,62,21,16,19,25,,,34,17,17,-68,,,21,37,56,81,,,34,51,68,,,
Benetton Basket, FC Barcelona,FT,99,26,45,4,15,35,43,13,22,35,16,24,14,3,4,21,33,133,82,25,44,7,24,11,17,16,20,36,11,16,22,4,3,33,21,70,21,17,29,32,,,50,6,26,-82,,,21,38,67,99,,,50,56,82,,,
Zalgiris Kaunas, AEK Athens,FT,71,19,40,3,11,24,30,5,27,32,7,2,12,8,2,26,25,70,73,22,51,3,19,20,27,21,22,43,7,5,11,2,8,25,26,60,24,18,16,13,,,41,10,22,-73,,,24,42,58,71,,,41,51,73,,,
PAOK Thessaloniki, Union Olimpija Ljubljana,FT,69,15,45,7,17,18,21,6,23,29,11,8,11,6,2,26,20,61,73,18,43,4,14,25,35,16,31,47,15,7,16,2,6,20,26,83,19,18,11,21,,,36,13,24,-73,,,19,37,48,69,,,36,49,73,,,
PAF Bologna, Real Madrid,FT,74,19,28,6,25,18,33,8,28,36,7,22,18,6,0,18,26,92,68,16,39,8,20,12,17,10,30,40,8,18,18,0,6,26,18,62,21,14,13,26,,,37,12,19,-68,,,21,35,48,74,,,37,49,68,,,
Real Madrid, PAF Bologna,FT,88,21,36,11,24,13,23,8,34,42,15,11,11,3,1,22,19,106,57,10,33,7,23,16,26,10,21,31,4,10,15,1,3,19,22,39,13,21,26,28,,,22,17,18,-57,,,13,34,60,88,,,22,39,57,,,
PAF Bologna, Real Madrid,FT,88,24,31,6,17,22,36,3,31,34,11,21,16,6,0,25,29,116,70,17,37,7,21,15,22,6,23,29,11,17,18,0,6,29,25,58,27,25,15,21,,,25,21,24,-70,,,27,52,67,88,,,25,46,70,,,
Kinder Virtus Bologna, Union Olimpija Ljubljana,OT,80,24,49,4,12,20,25,12,27,39,10,22,18,5,3,23,28,102,79,22,48,5,16,20,24,11,24,35,2,23,20,2,6,28,23,69,22,15,19,12,12,,16,17,19,16,11,,22,37,56,68,80,,16,33,52,68,79,
Union Olimpija Ljubljana, Kinder Virtus Bologna,FT,79,18,45,9,15,16,25,7,21,28,11,13,9,4,0,27,24,81,81,25,41,3,13,22,32,8,25,33,7,12,13,0,4,24,27,83,20,24,20,15,,,43,19,19,-81,,,20,44,64,79,,,43,62,81,,,
Olympiakos, Tau Ceramica Vitoria,FT,72,16,24,8,20,16,30,7,17,24,13,4,19,2,0,27,28,63,78,26,45,4,15,14,25,14,24,38,16,10,15,0,2,28,27,83,23,21,10,18,,,44,10,18,-72,,,23,44,54,72,,,44,54,72,,,
Tau Ceramica Vitoria Gasteiz, Olympiakos,FT,98,32,48,6,13,16,20,8,19,27,12,9,9,1,0,23,27,115,76,15,24,10,26,16,23,6,16,22,6,8,13,0,1,27,23,62,19,28,25,26,,,38,15,23,-76,,,19,47,72,98,,,38,53,76,,,
AEK Athens, Benetton Basket,OT,97,17,34,11,36,30,38,16,27,43,9,5,11,1,4,34,32,88,89,19,31,9,26,24,38,7,22,29,14,7,17,4,1,32,34,84,27,9,12,34,15,,20,20,22,20,7,,27,36,48,82,97,,20,40,62,82,89,
Benetton Basket, AEK Athens,FT,90,17,35,11,19,23,29,7,22,29,17,10,12,3,1,24,28,108,74,27,48,0,10,20,23,9,18,27,8,11,13,1,3,28,24,67,31,15,19,25,,,35,10,29,-74,,,31,46,65,90,,,35,45,74,,,
AEK Athens, Benetton Basket,FT,71,13,36,8,21,21,27,13,29,42,12,4,11,1,2,24,27,78,56,14,31,6,23,10,17,6,26,32,13,3,10,2,1,27,24,51,17,18,17,19,,,36,13,7,-56,,,17,35,52,71,,,36,49,56,,,
Kinder Virtus Bologna, PAF Bologna,FT,103,21,44,11,18,28,37,8,24,32,4,12,10,4,4,31,29,100,76,18,37,5,17,25,37,5,21,26,5,6,13,4,4,29,31,59,27,25,25,26,,,31,20,25,-76,,,27,52,77,103,,,31,51,76,,,
Kinder Virtus Bologna, PAF Bologna,FT,92,26,43,5,13,25,39,12,28,40,8,22,15,2,1,25,34,118,84,16,33,12,27,16,23,7,22,29,2,16,19,1,2,34,25,63,26,17,25,24,,,43,16,25,-84,,,26,43,68,92,,,43,59,84,,,
PAF Bologna, Kinder Virtus Bologna,FT,70,13,29,11,26,11,19,7,25,32,5,23,18,2,3,23,23,72,74,18,30,7,18,17,26,9,21,30,6,18,19,3,2,23,23,78,22,18,23,7,,,32,13,29,-74,,,22,40,63,70,,,32,45,74,,,
AEK Athens, Tau Ceramica Vitoria,FT,65,14,31,6,18,19,27,9,19,28,7,3,16,0,3,29,24,42,90,23,37,9,16,17,29,9,19,28,22,10,11,3,0,24,28,113,14,20,21,10,,,46,23,21,-90,,,14,34,55,65,,,46,69,90,,,
AEK Athens, Tau Ceramica Vitoria,FT,67,18,43,6,20,13,19,12,19,31,11,3,9,1,3,24,21,53,70,24,46,2,7,16,21,7,29,36,9,6,13,3,1,21,24,81,16,17,18,16,,,38,18,14,-70,,,16,33,51,67,,,38,56,70,,,
Tau Ceramica Vitoria Gasteiz, AEK Athens,FT,76,25,42,2,11,20,25,6,28,34,18,10,13,1,0,25,29,99,62,16,34,5,21,15,18,6,20,26,6,4,11,0,1,29,25,45,16,18,20,22,,,27,19,16,-62,,,16,34,54,76,,,27,46,62,,,
Kinder Virtus Bologna, Tau Ceramica Vitoria,FT,65,17,39,5,28,16,25,12,21,33,7,26,14,5,0,26,26,68,78,20,44,6,15,20,21,13,37,50,4,15,23,0,5,26,26,85,14,16,19,16,,,46,19,13,-78,,,14,30,49,65,,,46,65,78,,,
Kinder Virtus Bologna, Tau Ceramica Vitoria,FT,94,16,29,15,26,17,23,7,33,40,7,7,16,0,1,30,21,92,73,21,44,3,14,22,32,9,14,23,2,10,11,1,0,21,30,63,32,20,18,24,,,35,15,23,-73,,,32,52,70,94,,,35,50,73,,,
Tau Ceramica Vitoria Gasteiz, Kinder Virtus Bologna,FT,60,21,42,1,14,15,24,12,22,34,10,10,17,0,2,25,24,51,80,16,34,9,20,21,27,4,23,27,10,11,11,2,0,24,25,85,16,14,17,13,,,37,19,24,-80,,,16,30,47,60,,,37,56,80,,,
Tau Ceramica Vitoria Gasteiz, Kinder Virtus Bologna,FT,96,23,38,9,18,23,32,7,18,25,15,8,9,0,2,27,29,102,79,21,35,6,16,19,27,6,21,27,15,3,11,2,0,29,27,81,24,19,26,27,,,31,23,25,-79,,,24,43,69,96,,,31,54,79,,,
Kinder Virtus Bologna, Tau Ceramica Vitoria,FT,82,20,34,4,13,30,39,4,28,32,9,7,11,1,1,30,30,87,74,20,41,5,18,19,34,9,18,27,7,12,8,1,1,30,30,63,19,23,20,20,,,37,15,22,-74,,,19,42,62,82,,,37,52,74,,,
Benetton Basket, Unicaja,OT,98,21,36,11,24,23,37,8,24,32,14,12,18,0,2,24,35,105,94,24,50,10,23,16,22,16,25,41,15,7,19,2,0,35,24,84,26,19,22,19,12,,14,18,32,22,8,,26,45,67,86,98,,14,32,64,86,94,
Spirou Basket, Idea Slask,FT,53,16,44,3,16,12,20,7,22,29,8,8,11,2,0,21,23,42,71,17,33,9,23,10,14,4,31,35,12,5,16,3,0,23,21,74,13,14,11,15,,,41,19,11,-71,,,13,27,38,53,,,41,60,71,,,
Maccabi Elite, Alba Berlin,FT,82,23,48,4,17,24,32,12,26,38,12,13,5,7,3,23,29,104,70,12,30,11,26,13,21,7,23,30,16,4,15,3,7,29,23,54,27,23,16,16,,,34,17,19,-70,,,27,50,66,82,,,34,51,70,,,
Olympiacos, Efes Pilsen,FT,87,30,47,4,11,15,26,11,30,41,17,2,12,6,3,25,0,78,72,20,46,6,23,14,19,14,14,28,8,3,7,3,6,22,0,31,25,17,25,20,,,36,21,15,-72,,,25,42,67,87,,,36,57,72,,,
Kinder Virtus Bologna, Zalgiris,FT,90,26,42,8,14,14,28,9,27,36,11,12,17,2,1,19,21,99,54,19,49,2,9,10,15,10,15,25,4,13,18,1,2,21,19,33,24,25,18,23,,,32,14,8,-54,,,24,49,67,90,,,32,46,54,,,
Ulker, Kinder London Towers,FT,107,34,48,7,19,18,28,11,27,38,21,16,14,1,0,11,21,143,64,25,50,3,17,5,11,9,18,27,6,6,19,2,0,21,11,31,28,28,30,21,,,30,16,18,-64,,,28,56,86,107,,,30,46,64,,,
Union Olimpija, Peristeri,FT,81,20,36,9,20,14,20,7,15,22,9,12,12,2,0,25,23,79,74,21,36,3,12,23,29,8,15,23,6,10,17,0,2,23,26,67,17,26,21,17,,,42,18,14,-74,,,17,43,64,81,,,42,60,74,,,
Opel Skyliners, FC Barcelona,FT,74,25,52,5,20,9,14,7,24,31,10,6,11,6,2,22,0,45,88,26,53,5,12,21,29,8,31,39,14,9,11,2,6,19,0,74,26,17,18,13,,,45,22,21,-88,,,26,43,61,74,,,45,67,88,,,
Pau Orthez, CSKA Moscow,FT,91,18,38,11,24,22,27,6,29,35,25,7,14,0,0,20,24,110,83,24,47,6,21,17,22,10,27,37,16,7,13,0,0,24,20,83,27,18,17,29,,,34,17,32,-83,,,27,45,62,91,,,34,51,83,,,
Panathinaikos Athens, Skipper Bologna,FT,81,21,38,5,15,24,33,10,25,35,15,3,15,2,0,25,0,60,70,17,40,6,22,18,28,10,19,29,10,6,12,0,2,33,0,19,20,24,19,18,,,30,27,13,-70,,,20,44,63,81,,,30,57,70,,,
Buducnost, Real Madrid,FT,72,23,54,3,17,17,22,16,13,29,3,9,9,3,2,24,0,31,82,20,29,8,11,18,24,2,24,26,7,2,12,2,3,23,0,63,17,14,20,21,,,39,22,21,-82,,,17,31,51,72,,,39,61,82,,,
KRKA Novo Mesto, Zadar,FT,91,24,57,8,17,19,21,13,22,35,9,7,13,0,0,29,0,56,94,22,45,10,21,20,29,7,21,28,9,12,11,0,0,23,0,66,28,26,17,20,,,40,26,28,-94,,,28,54,71,91,,,40,66,94,,,
Partizan, Telindus Oostende,FT,86,17,30,14,24,10,18,5,16,21,13,11,10,2,0,26,18,84,77,21,46,6,12,17,24,9,11,20,9,7,10,0,2,18,26,71,22,27,22,15,,,48,18,16,-82,,,22,49,71,86,,,48,66,82,,,
Ural Great, Scavolini Pesaro,FT,99,26,44,8,15,23,31,10,18,28,22,9,14,4,3,17,28,123,88,23,44,10,21,12,15,12,15,27,16,5,15,3,4,28,17,74,18,29,24,28,,,51,16,21,-88,,,18,47,71,99,,,51,67,88,,,
Cibona VIP, Tau Ceramica,OT,96,24,42,7,15,27,39,10,24,34,12,5,21,5,0,29,32,96,95,29,56,4,15,25,39,15,19,34,16,13,13,0,4,32,28,85,17,23,23,20,13,,22,20,17,24,12,,17,40,63,83,96,,22,42,59,83,95,
Asvel Basket, AEK Athens,OT,86,22,51,8,23,18,26,19,15,34,23,6,11,1,2,32,25,78,84,19,38,5,15,31,45,11,28,39,11,6,19,2,1,25,32,86,25,16,16,15,14,,28,14,19,11,12,,25,41,57,72,86,,28,42,61,72,84,
Efes Pilsen, Benetton Basket,FT,87,27,48,6,15,15,23,7,20,27,16,13,8,3,2,19,22,101,78,20,36,9,24,11,14,5,20,25,15,5,14,3,3,22,19,72,26,22,18,21,,,42,13,23,-78,,,26,48,66,87,,,42,55,78,,,
Alba Berlin, Olympiacos,FT,69,15,37,5,19,24,27,8,11,19,5,8,13,1,0,26,0,24,88,25,45,6,14,20,23,10,25,35,9,8,13,2,0,27,0,71,16,16,20,17,,,47,20,21,-88,,,16,32,52,69,,,47,67,88,,,
Idea Slask, Maccabi Elite,FT,79,10,25,13,26,20,26,6,32,38,17,8,21,4,0,22,29,98,65,22,45,3,18,12,17,5,19,24,4,13,12,1,0,29,21,44,14,15,19,31,,,34,10,21,-65,,,14,29,48,79,,,34,44,65,,,
Unicaja, Spirou Basket,FT,76,19,42,7,16,17,25,10,19,29,16,8,12,6,1,20,24,86,68,22,47,5,14,9,11,10,17,27,12,6,15,1,6,24,20,53,19,14,18,25,,,32,20,16,-68,,,19,33,51,76,,,32,52,68,,,
FC Barcelona, Kinder Virtus Bologna,FT,69,15,37,9,21,12,23,12,24,36,12,7,20,1,2,21,25,62,85,26,46,7,16,12,23,6,26,32,19,11,12,2,1,25,21,92,25,18,16,10,,,43,19,23,-85,,,25,43,59,69,,,43,62,85,,,
Peristeri, Opel Skyliners,FT,89,28,44,5,25,18,24,14,20,34,11,8,18,3,0,32,26,79,93,17,30,9,23,32,43,7,20,27,8,9,22,0,3,26,32,80,16,21,16,36,,,37,26,30,-93,,,16,37,53,89,,,37,63,93,,,
Kinder London Towers, Union Olimpija,FT,58,15,35,5,21,13,17,8,15,23,6,7,17,2,1,19,22,41,91,24,39,8,24,19,23,14,28,42,22,10,12,1,2,22,19,114,11,25,9,13,,,38,35,18,-91,,,11,36,45,58,,,38,73,91,,,
Zalgiris, Ulker,FT,79,22,41,7,18,14,18,8,22,30,9,8,14,9,1,19,22,89,82,21,50,10,19,10,19,17,20,37,15,7,17,1,9,22,19,66,19,19,25,16,,,37,25,20,-82,,,19,38,63,79,,,37,62,82,,,
Zadar, Pau Orthez,FT,79,22,44,7,28,14,15,12,18,30,9,11,11,1,3,21,19,70,83,20,40,9,19,16,22,8,22,30,9,11,13,7,1,19,21,92,19,20,21,19,,,43,20,20,-83,,,19,39,60,79,,,43,63,83,,,
Real Madrid, KRKA Novo Mesto,FT,87,15,33,8,20,33,49,10,17,27,8,11,21,5,2,31,39,77,93,22,47,9,16,22,32,10,23,33,13,9,19,2,5,39,31,76,20,15,24,28,,,42,26,25,-93,,,20,35,59,87,,,42,68,93,,,
Skipper Bologna, Buducnost,FT,109,27,44,11,17,22,33,11,24,35,19,17,13,2,2,25,28,136,79,23,38,7,19,12,25,6,15,21,14,8,20,2,2,29,25,58,17,35,30,27,,,35,18,26,-79,,,17,52,82,109,,,35,53,79,,,
CSKA Moscow, Panathinaikos Athens,FT,85,22,40,8,15,17,23,7,19,26,14,7,18,3,0,22,25,89,91,23,41,9,18,18,25,8,21,29,19,8,17,3,0,25,22,96,12,21,16,36,,,38,23,30,-91,,,12,33,49,85,,,38,61,91,,,
AEK Athens, Partizan,FT,106,29,37,8,20,24,32,10,17,27,14,12,11,3,0,23,32,132,70,19,43,4,9,20,23,11,19,30,5,3,23,0,3,32,23,41,34,21,23,28,,,31,20,19,-70,,,34,55,78,106,,,31,51,70,,,
Tau Ceramica, Asvel Basket,FT,90,30,41,4,11,18,27,7,19,26,23,17,16,4,2,20,27,122,66,17,39,7,18,11,13,7,13,20,10,9,19,2,4,27,20,42,28,24,8,30,,,22,24,20,-66,,,28,52,60,90,,,22,46,66,,,
Scavolini Pesaro, Cibona VIP,FT,88,22,39,9,26,17,25,10,24,34,9,11,9,0,1,29,22,83,75,19,40,3,17,28,42,10,25,35,11,8,12,1,0,22,29,76,30,17,24,17,,,31,23,21,-75,,,30,47,71,88,,,31,54,75,,,
Telindus Oostende, Ural Great,FT,79,29,47,2,11,15,22,9,22,31,10,6,13,0,4,29,24,70,84,21,42,5,15,27,32,9,18,27,12,7,8,4,0,24,29,95,29,17,20,13,,,46,21,17,-84,,,29,46,66,79,,,46,67,84,,,
Benetton Basket, Spirou Basket,FT,86,23,38,8,24,16,19,4,28,32,21,12,11,2,0,20,20,108,78,18,43,8,21,18,24,12,26,38,10,5,16,0,2,20,20,69,24,20,20,22,,,35,24,19,-78,,,24,44,64,86,,,35,59,78,,,
Maccabi Elite, Unicaja,FT,82,22,36,6,16,20,24,9,20,29,20,6,6,4,1,20,23,109,60,15,38,6,16,12,19,6,14,20,11,3,14,1,4,23,20,34,14,23,25,20,,,42,12,6,-60,,,14,37,62,82,,,42,54,60,,,
Olympiacos, Idea Slask,FT,101,33,50,6,10,17,19,4,28,32,18,7,19,3,2,21,22,118,79,24,51,8,22,7,11,10,15,25,13,5,15,2,3,22,20,59,27,25,17,32,,,37,26,16,-79,,,27,52,69,101,,,37,63,79,,,
Efes Pilsen, Alba Berlin,FT,78,19,35,7,21,19,23,10,18,28,14,12,16,1,1,28,27,81,72,14,32,7,20,23,29,5,19,24,6,8,15,1,1,27,28,59,20,12,17,29,,,35,13,24,-72,,,20,32,49,78,,,35,48,72,,,
Kinder Virtus Bologna, Ulker,FT,68,17,33,5,22,19,27,8,26,34,6,12,18,3,1,21,26,68,60,19,43,5,20,7,12,11,23,34,5,10,16,1,3,26,21,42,17,14,20,17,,,28,15,17,-60,,,17,31,51,68,,,28,43,60,,,
Union Olimpija, Zalgiris,FT,87,29,51,6,14,11,14,8,19,27,18,17,8,0,5,23,16,96,66,18,31,5,14,15,21,3,14,17,11,3,17,5,0,16,23,64,29,17,24,17,,,31,16,19,-66,,,29,46,70,87,,,31,47,66,,,
Opel Skyliners, Kinder London Towers,FT,61,22,64,2,18,11,17,20,22,42,5,10,7,2,1,18,21,51,57,16,31,6,18,7,19,5,31,36,8,3,20,1,2,21,18,41,16,17,16,12,,,31,9,17,-57,,,16,33,49,61,,,31,40,57,,,
FC Barcelona, Peristeri,FT,73,20,38,5,26,18,24,14,24,38,18,10,16,5,2,21,22,82,77,23,46,6,19,13,15,9,21,30,10,9,15,2,5,22,21,69,24,12,18,19,,,31,14,32,-77,,,24,36,54,73,,,31,45,77,,,
Pau Orthez, Panathinaikos Athens,FT,67,19,32,3,14,20,28,6,19,25,12,3,19,1,0,26,20,51,79,25,42,6,16,11,15,4,18,22,11,8,12,0,0,20,26,83,15,21,13,18,,,43,17,19,-79,,,15,36,49,67,,,43,60,79,,,
Buducnost, CSKA Moscow,FT,72,17,44,8,25,14,22,11,20,31,10,3,8,2,5,25,19,47,103,26,46,10,17,21,24,6,28,34,14,3,7,5,2,20,25,125,20,13,17,22,,,45,33,25,-103,,,20,33,50,72,,,45,78,103,,,
KRKA Novo Mesto, Skipper Bologna,FT,94,25,45,7,13,23,27,5,17,22,13,3,8,3,1,28,28,96,100,20,39,14,27,18,24,9,13,22,15,2,10,1,3,28,28,89,20,27,25,22,,,47,29,24,-100,,,20,47,72,94,,,47,76,100,,,
